ID,2,
Сайт,https://2x2tv.ru/,
Заголовок,"Отображено сообщение ""Please renew your subscription"" при переходе на страницу «Магазин»",
Предусловия,Открыта главная страница сайта https://2x2tv.ru/,
"Шаги
воспроизведения","Нажать кнопку ""Магазин"" на главной странице сайта.",
Ожидаемый результат,"Открывается страница ""Магазин""",
Фактический результат,"Открывается страница с текстом ""Please renew your subscription""",https://shop.2x2tv.ru/
Окружение,"Windows 10, Google Chrome Версия 102.0.5005.63, (64 бит)",
Приоритет,Высокий,
Важность,Значительная,
