ID,,1
Сайт,,https://2x2tv.ru/
Заголовок,,"Сообщение об ошибке ""Такой страницы не существует"" (404) после нажатия кнопки «Зарегистрироваться»"
Предусловия,,Открыта главная страница сайта https://2x2tv.ru/
"Шаги
воспроизведения",1,"Нажать кнопку ""Войти"""
,2,"Нажать кнопку ""Зарегистрироваться"""
,,
Ожидаемый результат,,Открывается страница с формой регистрации.
Фактический результат,,"Открывается страница с текстом ""Такой страницы не существует"" (404)"
Окружение,,"Windows 10, Google Chrome Версия 102.0.5005.63, (64 бит)"
Приоритет,,Высокий
Важность,,Значительная
